"Index","Offset","TokenVar","TargetProp","TokenType","TokenString"
"777","8138860","Au","","Symbol.for","aiAgent.IFileFacade"
"778","8138990","Au","","Symbol.for","aiAgent.IFileFacade"
"779","8139080","etb","","Symbol.for","IKnowledgesStagingService"
"780","8139177","bY","","Symbol.for","aiAgent.ILogService"
"781","8139267","etO","","Symbol.for","aiChat.IDSLAgentService"
"782","8142382","Cv","","Symbol.for","aiAgent.II18nService"
"783","8142549","Cv","","Symbol.for","aiAgent.II18nService"
"784","8142640","bY","","Symbol.for","aiAgent.ILogService"
"785","8181968","G0","","Symbol.for","aiNg.IWorkspaceService"
"786","8182064","M0","","Symbol.for","aiAgent.ISessionService"
"787","8182158","Dj","","Symbol.for","IUserMessageParser"
"788","8182258","BR","","Symbol","ISessionServiceV2"
"789","8182354","eth","","Symbol.for","IKnowledgesPersistenceService"
"790","8182465","etb","","Symbol.for","IKnowledgesStagingService"
"791","8182572","etj","","Symbol.for","IKnowledgesSourceMaterialService"
"792","8182686","etW","","Symbol.for","IKnowledgesNotificationService"
"793","8182798","etO","","Symbol.for","aiChat.IDSLAgentService"
"794","8182905","bY","","Symbol.for","aiAgent.ILogService"
"795","8182995","Tm","","Symbol.for","ai.IDocsetStore"
"796","8183085","Au","","Symbol.for","aiAgent.IFileFacade"
"797","8183175","IN","","Symbol","ISessionRelationStoreInternal"
"798","8183328","IN","","Symbol","ISessionRelationStoreInternal"
"799","8183469","IN","","Symbol","ISessionRelationStoreInternal"
"800","8183569","k1","","Symbol","IModelStore"
"801","8201197","FC","","Symbol.for","IKnowledgesTaskService"
"802","8201298","etO","","Symbol.for","aiChat.IDSLAgentService"
"803","8201405","bY","","Symbol.for","aiAgent.ILogService"
"804","8201495","Tm","","Symbol.for","ai.IDocsetStore"
"805","8201585","","","",""
"806","8201738","","","",""
"807","8201899","Cv","","Symbol.for","aiAgent.II18nService"
"808","8202046","Cv","","Symbol.for","aiAgent.II18nService"
"809","8202137","Au","","Symbol.for","aiAgent.IFileFacade"
"810","8202227","G0","","Symbol.for","aiNg.IWorkspaceService"
"811","8202323","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"812","9892907","eto","","Symbol.for","aiChat.IDSLAgentService"
"813","10475128","","","",""
"814","10475298","jP","","",""
"815","10475459","jP","","",""
"816","10475558","Cv","","Symbol.for","aiAgent.II18nService"
"817","10475648","JI","","Symbol.for","NotificationService"
