"TokenVar","TokenType","TokenString","ClassName","RegOffset","InjectionCount","TargetProps","HasRegistration"
"G0","Symbol.for","aiNg.IWorkspaceService","","7833086","6","_workspacePathsCache","True"
"k1","Symbol","IModelStore","Ii","7194451","5","","True"
"Fe","Symbol.for","aiAgent.IAiAgentIDEChatImageService","WP","7714384","4","","True"
"zC","Symbol.for","IChatStreamWaitingMessageReporter","zk","7507346","4","_chatStreamFirstTokenReporter","True"
"eto","Symbol.for","aiChat.IDSLAgentService","etp","8113587","4","","True"
"IZ","Symbol","IConfigurationStore","IX","7225520","4","","True"
"jO","Symbol.for","IPlanService","Ym","7892626","4","","True"
"T5","Symbol","IAgentStore","T9","7261403","4","_credentialC, _credentialConnectorService, _credentialInfra","True"
"T8","Symbol","ILintErrorAutoFixStore","Nn","7261961","4","","True"
"DK","Symbol","IMetadataParser","D0","7322592","4","","True"
"BR","Symbol","ISessionServiceV2","BW","7559425","4","_configurationStore","True"
"MY","Symbol.for","aiAgent.IConfigurationFacade","MQ","7153494","4","_telemetry","True"
"MR","Symbol.for","aiAgent.ISlardarFacade","Ms","7140117","4","_workspacePathsCache","True"
"Me","Symbol.for","IViewsFacade","Mn","7139393","3","_credentialConnectorService","True"
"k5","Symbol.for","IModeStorageService","N1","7296204","3","","True"
"Mz","Symbol.for","aiAgent.IContextKeyFacade","MV","7151134","3","","True"
"TQ","Symbol","ITasksHubStore","T3","7256727","3","","True"
"TX","Symbol","ITeamAgentSubmittedService","Ws","7670279","3","","True"
